date,code,name,op,categ,quantity,price,amounts
20230608,001230.OF,鹏华医药,B,F,,,-998.5
20230616,159605.SZ,中概互联,S,S,-211600,,171607.6
20230616,513050.SH,中概互联,B,S,160600,,-171842
20230619,159605.SZ,中概互联,S,S,-211600,,167798
20230619,513050.SH,中概互联,B,S,159600,,-167739.6
20230615,001230.OF,鹏华医药,B,F,,,-998.5
20230626,162202.OF,泰达宏利,B,F,,,-1198.2
20230626,165516.SZ,信诚周期,B,F,,,-1198.2
20230626,001230.OF,鹏华医药,B,F,,,-599.1
20230629,162202.OF,泰达宏利,B,F,,,-2396.41
20230629,165516.SZ,信诚周期,B,F,,,-2995.51
20230629,001230.OF,鹏华医药,B,F,,,-998.5
20230706,162202.OF,泰达宏利,B,F,,,-998.5
20230706,165516.SZ,信诚周期,B,F,,,-1497.75
20230706,001230.OF,鹏华医药,B,F,,,-499.25
20230713,162202.OF,泰达宏利,B,F,,,-1198.2
20230713,165516.SZ,信诚周期,B,F,,,-1797.3
20230713,001230.OF,鹏华医药,B,F,,,-499.25
20230719,519702.OF,交银趋势,B,F,,,-499.25
20230720,519702.OF,交银趋势,B,F,,,-499.25
20230720,001300.OF,大成睿景,B,F,,,-998.5
20230720,004475.OF,华泰柏瑞,B,F,,,-998.5
20230720,001322.OF,东吴趋势,B,F,,,-499.25
20230720,166301.OF,华商趋势,B,F,,,-998.5
20230726,519702.OF,交银趋势,B,F,,,-499.25
20230727,166301.OF,华商趋势,B,F,,,-998.5
20230727,519702.OF,交银趋势,B,F,,,-499.25
20230802,519702.OF,交银趋势,B,F,,,-499.25
20230803,519702.OF,交银趋势,B,F,,,-499.25
20230803,001322.OF,东吴趋势,B,F,,,-499.25
20230803,004475.OF,华泰柏瑞,B,F,,,-998.5
20230809,519702.OF,交银趋势,B,F,,,-499.25
20230810,519702.OF,交银趋势,B,F,,,-499.25
20230810,001300.OF,大成睿景,B,F,,,-998.5
20230810,004475.OF,华泰柏瑞,B,F,,,-998.5
20230810,166301.OF,华商趋势,B,F,,,-998.5
20230817,001300.OF,大成睿景,B,F,,,-1198.2
20230817,004475.OF,华泰柏瑞,B,F,,,-998.5
20230817,001322.OF,东吴趋势,B,F,,,-998.5
20230817,166301.OF,华商趋势,B,F,,,-1198.2
20230817,519702.OF,交银趋势,B,F,,,-499.25
20230821,513050.SH,中概互联,S,S,-50000,,51050
20230821,513050.SH,中概互联,S,S,-70200,,71604
20230821,513050.SH,中概互联,S,S,-100000,,102800
20230821,159605.SZ,中概互联,B,S,66200,,-50974
20230821,159605.SZ,中概互联,B,S,93000,,-71610
20230821,159605.SZ,中概互联,B,S,66100,,-51425.8
20230821,159605.SZ,中概互联,B,S,66100,,-51359.7
